STATE,DISTRICT,years,MURDER,ATTEMP_TO_MURDER,RAPE,STATE,years,max_murder
BIHAR,PATNA,2004,542,188,46,BIHAR,2004,542
CHHATTISGARH,SARGUJA,2004,111,47,123,CHHATTISGARH,2004,111
GOA,"NORTH GOA",2004,23,3,13,GOA,2004,23
GUJARAT,"AHMEDABAD COMMR.",2004,92,62,40,GUJARAT,2004,92
HARYANA,SONIPAT,2004,67,34,13,HARYANA,2004,67
HARYANA,FARIDABAD,2004,67,31,42,HARYANA,2004,67
"HIMACHAL PRADESH",MANDI,2004,19,7,15,"HIMACHAL PRADESH",2004,19
"JAMMU & KASHMIR",BARAMULLA,2004,86,83,15,"JAMMU & KASHMIR",2004,86
JHARKHAND,RANCHI,2004,270,161,55,JHARKHAND,2004,270
KARNATAKA,"BANGALORE COMMR.",2004,214,285,32,KARNATAKA,2004,214
KERALA,KOLLAM,2004,46,26,55,KERALA,2004,46
"MADHYA PRADESH",JHABUA,2004,139,87,22,"MADHYA PRADESH",2004,139
MAHARASHTRA,MUMBAI,2004,253,127,187,MAHARASHTRA,2004,253
MANIPUR,THOUBAL,2004,38,46,11,MANIPUR,2004,38
MEGHALAYA,"KHASI HILLS EAST",2004,33,12,17,MEGHALAYA,2004,33
MIZORAM,AIZAWL,2004,10,7,6,MIZORAM,2004,10
NAGALAND,DIMAPUR,2004,22,5,2,NAGALAND,2004,22
ODISHA,MAYURBHANJ,2004,77,66,84,ODISHA,2004,77
PUNJAB,JALANDHAR,2004,74,85,31,PUNJAB,2004,74
RAJASTHAN,BHARATPUR,2004,92,134,44,RAJASTHAN,2004,92
SIKKIM,WEST,2004,5,1,0,SIKKIM,2004,5
"TAMIL NADU",CHENGAI,2004,79,56,33,"TAMIL NADU",2004,79
TRIPURA,WEST,2004,97,13,48,TRIPURA,2004,97
"UTTAR PRADESH",MUZAFFARNAGAR,2004,253,163,44,"UTTAR PRADESH",2004,253
UTTARAKHAND,HARIDWAR,2004,56,66,33,UTTARAKHAND,2004,56
"WEST BENGAL","24 PARGANAS NORTH",2004,177,43,176,"WEST BENGAL",2004,177
"A & N ISLANDS",ANDAMAN,2004,13,1,10,"A & N ISLANDS",2004,13
CHANDIGARH,CHANDIGARH,2004,22,19,19,CHANDIGARH,2004,22
"D & N HAVELI","D and N HAVELI",2004,11,4,7,"D & N HAVELI",2004,11
"DAMAN & DIU",DAMAN,2004,2,1,1,"DAMAN & DIU",2004,2
"DELHI UT","DELHI UT TOTAL",2004,481,519,551,"DELHI UT",2004,481
LAKSHADWEEP,LAKSHADWEEP,2004,0,0,0,LAKSHADWEEP,2004,0
PUDUCHERRY,PONDICHERRY,2004,25,18,4,PUDUCHERRY,2004,25
"ANDHRA PRADESH",MAHABOOBNAGAR,2005,212,102,62,"ANDHRA PRADESH",2005,212
"ARUNACHAL PRADESH",LOHIT,2005,14,5,3,"ARUNACHAL PRADESH",2005,14
ASSAM,DIBRUGARH,2005,113,24,57,ASSAM,2005,113
BIHAR,PATNA,2005,436,87,57,BIHAR,2005,436
CHHATTISGARH,BILASPUR,2005,94,54,77,CHHATTISGARH,2005,94
GOA,"SOUTH GOA",2005,23,5,9,GOA,2005,23
GUJARAT,"SURAT COMMR.",2005,86,23,23,GUJARAT,2005,86
HARYANA,FARIDABAD,2005,76,44,39,HARYANA,2005,76
"HIMACHAL PRADESH",KANGRA,2005,21,13,23,"HIMACHAL PRADESH",2005,21
"JAMMU & KASHMIR",BARAMULLA,2005,78,93,16,"JAMMU & KASHMIR",2005,78
JHARKHAND,RANCHI,2005,239,168,102,JHARKHAND,2005,239
KARNATAKA,"BANGALORE COMMR.",2005,242,282,38,KARNATAKA,2005,242
KERALA,THRISSUR,2005,41,35,38,KERALA,2005,41
"MADHYA PRADESH",JHABUA,2005,129,68,37,"MADHYA PRADESH",2005,129
MAHARASHTRA,MUMBAI,2005,212,136,201,MAHARASHTRA,2005,212
MANIPUR,IMPHAL(WEST),2005,49,68,10,MANIPUR,2005,49
MANIPUR,CHURACHANDPUR,2005,49,25,0,MANIPUR,2005,49
MEGHALAYA,"JAINTIA HILLS",2005,43,3,10,MEGHALAYA,2005,43
MIZORAM,MAMIT,2005,4,2,6,MIZORAM,2005,4
MIZORAM,LUNGLEI,2005,4,4,6,MIZORAM,2005,4
MIZORAM,CHAMPHAI,2005,4,3,5,MIZORAM,2005,4
MIZORAM,AIZAWL,2005,4,4,10,MIZORAM,2005,4
NAGALAND,DIMAPUR,2005,23,4,7,NAGALAND,2005,23
ODISHA,SUNDARGARH,2005,82,45,32,ODISHA,2005,82
PUNJAB,JALANDHAR,2005,63,83,37,PUNJAB,2005,63
RAJASTHAN,BHARATPUR,2005,91,111,46,RAJASTHAN,2005,91
SIKKIM,EAST,2005,5,10,8,SIKKIM,2005,5
"TAMIL NADU",CHENNAI,2005,123,175,43,"TAMIL NADU",2005,123
TRIPURA,WEST,2005,61,20,58,TRIPURA,2005,61
"UTTAR PRADESH",BAREILLY,2005,224,209,48,"UTTAR PRADESH",2005,224
UTTARAKHAND,HARIDWAR,2005,65,56,32,UTTARAKHAND,2005,65
"WEST BENGAL","24 PARGANAS NORTH",2005,168,70,217,"WEST BENGAL",2005,168
"A & N ISLANDS",ANDAMAN,2005,14,3,4,"A & N ISLANDS",2005,14
CHANDIGARH,CHANDIGARH,2005,18,15,33,CHANDIGARH,2005,18
"D & N HAVELI","D and N HAVELI",2005,7,5,5,"D & N HAVELI",2005,7
"DAMAN & DIU",DAMAN,2005,4,2,2,"DAMAN & DIU",2005,4
"DELHI UT","DELHI UT TOTAL",2005,455,467,658,"DELHI UT",2005,455
LAKSHADWEEP,LAKSHADWEEP,2005,1,0,0,LAKSHADWEEP,2005,1
PUDUCHERRY,PONDICHERRY,2005,19,24,6,PUDUCHERRY,2005,19
"ANDHRA PRADESH",CYBERABAD,2006,193,92,60,"ANDHRA PRADESH",2006,193
"ARUNACHAL PRADESH","PAPUM PARE",2006,10,11,5,"ARUNACHAL PRADESH",2006,10
ASSAM,DIBRUGARH,2006,104,25,53,ASSAM,2006,104
BIHAR,PATNA,2006,338,88,54,BIHAR,2006,338
CHHATTISGARH,BIZAPUR,2006,139,181,6,CHHATTISGARH,2006,139
GOA,"NORTH GOA",2006,24,8,8,GOA,2006,24
GUJARAT,"SURAT COMMR.",2006,103,30,31,GUJARAT,2006,103
HARYANA,GURGAON,2006,93,63,30,HARYANA,2006,93
"HIMACHAL PRADESH",KANGRA,2006,19,19,12,"HIMACHAL PRADESH",2006,19
"JAMMU & KASHMIR",DODA,2006,65,94,10,"JAMMU & KASHMIR",2006,65
JHARKHAND,RANCHI,2006,253,60,79,JHARKHAND,2006,253
KARNATAKA,"BANGALORE COMMR.",2006,218,324,33,KARNATAKA,2006,218
KERALA,THRISSUR,2006,44,48,55,KERALA,2006,44
KERALA,PALAKKAD,2006,44,30,59,KERALA,2006,44
"MADHYA PRADESH",JHABUA,2006,117,63,32,"MADHYA PRADESH",2006,117
MAHARASHTRA,"MUMBAI COMMR.",2006,239,135,165,MAHARASHTRA,2006,239
MANIPUR,CHURACHANDPUR,2006,43,30,20,MANIPUR,2006,43
MEGHALAYA,"JAINTIA HILLS",2006,51,3,19,MEGHALAYA,2006,51
MIZORAM,AIZAWL,2006,7,9,31,MIZORAM,2006,7
NAGALAND,KOHIMA,2006,31,19,8,NAGALAND,2006,31
ODISHA,MAYURBHANJ,2006,84,42,88,ODISHA,2006,84
ODISHA,KEONJHAR,2006,84,59,53,ODISHA,2006,84
PUNJAB,JALANDHAR,2006,80,122,52,PUNJAB,2006,80
RAJASTHAN,BHARATPUR,2006,75,60,35,RAJASTHAN,2006,75
RAJASTHAN,ALWAR,2006,75,83,81,RAJASTHAN,2006,75
SIKKIM,EAST,2006,10,10,10,SIKKIM,2006,10
"TAMIL NADU",CHENNAI,2006,131,193,29,"TAMIL NADU",2006,131
TRIPURA,WEST,2006,74,12,77,TRIPURA,2006,74
"UTTAR PRADESH",MUZAFFARNAGAR,2006,230,164,31,"UTTAR PRADESH",2006,230
UTTARAKHAND,"UDHAMSINGH NAGAR",2006,74,53,23,UTTARAKHAND,2006,74
"WEST BENGAL","24 PARGANAS NORTH",2006,154,82,174,"WEST BENGAL",2006,154
"A & N ISLANDS",ANDAMAN,2006,3,4,6,"A & N ISLANDS",2006,3
CHANDIGARH,CHANDIGARH,2006,12,21,19,CHANDIGARH,2006,12
"D & N HAVELI","D and N HAVELI",2006,9,0,6,"D & N HAVELI",2006,9
"DAMAN & DIU",DAMAN,2006,6,2,1,"DAMAN & DIU",2006,6
"DELHI UT","DELHI UT TOTAL",2006,476,510,623,"DELHI UT",2006,476
LAKSHADWEEP,LAKSHADWEEP,2006,0,2,0,LAKSHADWEEP,2006,0
PUDUCHERRY,PONDICHERRY,2006,28,22,8,PUDUCHERRY,2006,28
"ANDHRA PRADESH",CYBERABAD,2007,186,84,45,"ANDHRA PRADESH",2007,186
"ARUNACHAL PRADESH",LOHIT,2007,17,1,5,"ARUNACHAL PRADESH",2007,17
ASSAM,TINSUKIA,2007,143,6,57,ASSAM,2007,143
BIHAR,PATNA,2007,317,115,74,BIHAR,2007,317
CHHATTISGARH,BIZAPUR,2007,113,148,4,CHHATTISGARH,2007,113
GOA,"SOUTH GOA",2007,18,10,15,GOA,2007,18
GUJARAT,"SURAT COMMR.",2007,108,31,24,GUJARAT,2007,108
HARYANA,GURGAON,2007,93,58,40,HARYANA,2007,93
"HIMACHAL PRADESH",KANGRA,2007,22,11,20,"HIMACHAL PRADESH",2007,22
"JAMMU & KASHMIR",BARAMULLA,2007,47,79,31,"JAMMU & KASHMIR",2007,47
JHARKHAND,RANCHI,2007,203,78,53,JHARKHAND,2007,203
KARNATAKA,"BANGALORE COMMR.",2007,246,264,62,KARNATAKA,2007,246
KERALA,KOLLAM,2007,43,27,46,KERALA,2007,43
"MADHYA PRADESH",INDORE,2007,111,151,102,"MADHYA PRADESH",2007,111
MAHARASHTRA,"MUMBAI COMMR.",2007,230,116,174,MAHARASHTRA,2007,230
MANIPUR,"IMPHAL WEST",2007,61,130,7,MANIPUR,2007,61
MEGHALAYA,"JAINTIA HILLS",2007,43,2,26,MEGHALAYA,2007,43
MIZORAM,AIZAWL,2007,18,11,35,MIZORAM,2007,18
NAGALAND,DIMAPUR,2007,30,8,5,NAGALAND,2007,30
ODISHA,MAYURBHANJ,2007,98,54,74,ODISHA,2007,98
PUNJAB,LUDHIANA,2007,63,76,58,PUNJAB,2007,63
PUNJAB,JALANDHAR,2007,63,118,54,PUNJAB,2007,63
RAJASTHAN,ALWAR,2007,89,62,73,RAJASTHAN,2007,89
SIKKIM,WEST,2007,6,2,4,SIKKIM,2007,6
"TAMIL NADU",CHENNAI,2007,145,247,46,"TAMIL NADU",2007,145
TRIPURA,WEST,2007,65,14,77,TRIPURA,2007,65
"UTTAR PRADESH",MUZAFFARNAGAR,2007,213,170,37,"UTTAR PRADESH",2007,213
UTTARAKHAND,HARIDWAR,2007,55,59,28,UTTARAKHAND,2007,55
"WEST BENGAL","24 PARGANAS NORTH",2007,194,6,231,"WEST BENGAL",2007,194
"A & N ISLANDS","A and N ISLANDS",2007,15,19,3,"A & N ISLANDS",2007,15
CHANDIGARH,CHANDIGARH,2007,19,26,22,CHANDIGARH,2007,19
"D & N HAVELI","D and N HAVELI",2007,10,2,7,"D & N HAVELI",2007,10
"DAMAN & DIU",DAMAN,2007,12,6,1,"DAMAN & DIU",2007,12
"DELHI UT","DELHI UT TOTAL",2007,495,530,598,"DELHI UT",2007,495
LAKSHADWEEP,LAKSHADWEEP,2007,0,2,1,LAKSHADWEEP,2007,0
PUDUCHERRY,PONDICHERRY,2007,30,33,6,PUDUCHERRY,2007,30
"ANDHRA PRADESH",CYBERABAD,2008,197,66,80,"ANDHRA PRADESH",2008,197
"ARUNACHAL PRADESH","PAPUM PARE",2008,11,6,7,"ARUNACHAL PRADESH",2008,11
"ARUNACHAL PRADESH",LOHIT,2008,11,1,3,"ARUNACHAL PRADESH",2008,11
ASSAM,TINSUKIA,2008,114,0,60,ASSAM,2008,114
BIHAR,PATNA,2008,341,189,57,BIHAR,2008,341
CHHATTISGARH,RAIPUR,2008,112,91,128,CHHATTISGARH,2008,112
CHHATTISGARH,BILASPUR,2008,112,48,71,CHHATTISGARH,2008,112
GOA,"NORTH GOA",2008,26,14,15,GOA,2008,26
GUJARAT,"SURAT COMMR.",2008,97,42,28,GUJARAT,2008,97
HARYANA,SONIPAT,2008,84,48,36,HARYANA,2008,84
"HIMACHAL PRADESH",MANDI,2008,19,7,32,"HIMACHAL PRADESH",2008,19
"HIMACHAL PRADESH",KANGRA,2008,19,20,19,"HIMACHAL PRADESH",2008,19
"JAMMU & KASHMIR",JAMMU,2008,31,87,26,"JAMMU & KASHMIR",2008,31
JHARKHAND,RANCHI,2008,209,72,62,JHARKHAND,2008,209
KARNATAKA,"BANGALORE COMMR.",2008,253,297,54,KARNATAKA,2008,253
KERALA,THRISSUR,2008,38,64,46,KERALA,2008,38
"MADHYA PRADESH",INDORE,2008,125,197,122,"MADHYA PRADESH",2008,125
MAHARASHTRA,"MUMBAI COMMR.",2008,210,132,218,MAHARASHTRA,2008,210
MANIPUR,THOUBAL,2008,46,126,9,MANIPUR,2008,46
MEGHALAYA,"JAINTIA HILLS",2008,38,5,18,MEGHALAYA,2008,38
MIZORAM,AIZAWL,2008,12,7,39,MIZORAM,2008,12
NAGALAND,DIMAPUR,2008,64,13,6,NAGALAND,2008,64
ODISHA,KEONJHAR,2008,91,152,66,ODISHA,2008,91
PUNJAB,LUDHIANA,2008,73,69,46,PUNJAB,2008,73
RAJASTHAN,ALWAR,2008,101,59,88,RAJASTHAN,2008,101
SIKKIM,EAST,2008,5,5,5,SIKKIM,2008,5
"TAMIL NADU",CHENNAI,2008,100,130,35,"TAMIL NADU",2008,100
TRIPURA,WEST,2008,72,14,81,TRIPURA,2008,72
"UTTAR PRADESH",MUZAFFARNAGAR,2008,168,175,40,"UTTAR PRADESH",2008,168
"UTTAR PRADESH","KANPUR NAGAR",2008,168,114,72,"UTTAR PRADESH",2008,168
UTTARAKHAND,HARIDWAR,2008,74,62,24,UTTARAKHAND,2008,74
"WEST BENGAL","24 PARGANAS SOUTH",2008,239,35,308,"WEST BENGAL",2008,239
"A & N ISLANDS",ANDAMAN,2008,8,10,12,"A & N ISLANDS",2008,8
CHANDIGARH,CHANDIGARH,2008,17,28,20,CHANDIGARH,2008,17
"D & N HAVELI","D and N HAVELI",2008,9,2,6,"D & N HAVELI",2008,9
"DAMAN & DIU",DAMAN,2008,2,1,0,"DAMAN & DIU",2008,2
"DELHI UT","DELHI UT TOTAL",2008,554,389,466,"DELHI UT",2008,554
LAKSHADWEEP,LAKSHADWEEP,2008,1,0,2,LAKSHADWEEP,2008,1
PUDUCHERRY,PUDUCHERRY,2008,30,29,7,PUDUCHERRY,2008,30
"ANDHRA PRADESH",CYBERABAD,2009,186,84,82,"ANDHRA PRADESH",2009,186
"ARUNACHAL PRADESH","SIANG WEST",2009,11,3,5,"ARUNACHAL PRADESH",2009,11
ASSAM,SONITPUR,2009,109,20,89,ASSAM,2009,109
BIHAR,PATNA,2009,314,104,46,BIHAR,2009,314
CHHATTISGARH,RAIPUR,2009,101,94,145,CHHATTISGARH,2009,101
GOA,"NORTH GOA",2009,33,9,31,GOA,2009,33
GUJARAT,"SURAT COMMR.",2009,101,15,28,GUJARAT,2009,101
HARYANA,GURGAON,2009,84,38,29,HARYANA,2009,84
"HIMACHAL PRADESH",KANGRA,2009,29,17,23,"HIMACHAL PRADESH",2009,29
"JAMMU & KASHMIR",SRINAGAR,2009,23,70,21,"JAMMU & KASHMIR",2009,23
JHARKHAND,RANCHI,2009,202,211,63,JHARKHAND,2009,202
KARNATAKA,"BANGALORE COMMR.",2009,256,338,65,KARNATAKA,2009,256
KERALA,PALAKKAD,2009,36,21,49,KERALA,2009,36
"MADHYA PRADESH",INDORE,2009,132,208,82,"MADHYA PRADESH",2009,132
MAHARASHTRA,"MUMBAI COMMR.",2009,217,160,182,MAHARASHTRA,2009,217
MANIPUR,"IMPHAL WEST",2009,32,156,8,MANIPUR,2009,32
MEGHALAYA,"JAINTIA HILLS",2009,40,5,24,MEGHALAYA,2009,40
MIZORAM,AIZAWL,2009,14,8,27,MIZORAM,2009,14
NAGALAND,DIMAPUR,2009,15,8,7,NAGALAND,2009,15
ODISHA,KEONJHAR,2009,109,101,53,ODISHA,2009,109
PUNJAB,LUDHIANA,2009,68,101,39,PUNJAB,2009,68
RAJASTHAN,ALWAR,2009,103,77,101,RAJASTHAN,2009,103
SIKKIM,EAST,2009,7,4,5,SIKKIM,2009,7
"TAMIL NADU",CHENNAI,2009,96,175,39,"TAMIL NADU",2009,96
TRIPURA,WEST,2009,61,19,76,TRIPURA,2009,61
"UTTAR PRADESH",GHAZIABAD,2009,254,277,53,"UTTAR PRADESH",2009,254
UTTARAKHAND,HARIDWAR,2009,67,58,26,UTTARAKHAND,2009,67
"WEST BENGAL","24 PARGANAS NORTH",2009,229,238,166,"WEST BENGAL",2009,229
"A & N ISLANDS",ANDAMAN,2009,15,4,18,"A & N ISLANDS",2009,15
CHANDIGARH,CHANDIGARH,2009,22,18,29,CHANDIGARH,2009,22
"D & N HAVELI","D and N HAVELI",2009,10,5,4,"D & N HAVELI",2009,10
"DAMAN & DIU",DAMAN,2009,5,4,1,"DAMAN & DIU",2009,5
"DELHI UT","DELHI UT TOTAL",2009,552,369,469,"DELHI UT",2009,552
LAKSHADWEEP,LAKSHADWEEP,2009,0,1,1,LAKSHADWEEP,2009,0
PUDUCHERRY,PUDUCHERRY,2009,31,23,1,PUDUCHERRY,2009,31
"ANDHRA PRADESH",CYBERABAD,2010,187,84,95,"ANDHRA PRADESH",2010,187
"ARUNACHAL PRADESH","SIANG WEST",2010,9,1,6,"ARUNACHAL PRADESH",2010,9
ASSAM,TINSUKIA,2010,96,17,55,ASSAM,2010,96
BIHAR,PATNA,2010,304,20,50,BIHAR,2010,304
CHHATTISGARH,BILASPUR,2010,106,49,69,CHHATTISGARH,2010,106
GOA,"NORTH GOA",2010,25,12,12,GOA,2010,25
GUJARAT,"SURAT COMMR.",2010,87,19,23,GUJARAT,2010,87
HARYANA,HISSAR,2010,91,74,25,HARYANA,2010,91
"HIMACHAL PRADESH",KANGRA,2010,27,12,22,"HIMACHAL PRADESH",2010,27
"JAMMU & KASHMIR",SOPORE,2010,30,67,9,"JAMMU & KASHMIR",2010,30
JHARKHAND,RANCHI,2010,183,55,92,JHARKHAND,2010,183
